Algorithm,Parameter,Value,Accuracy
Decision Tree,"max_depth, min_samples_split","None, 2",1
Decision Tree,"max_depth, min_samples_split","1,5",0.666666667
Decision Tree,"max_depth, min_samples_split","3,8",1
Decision Tree,"max_depth, min_samples_split","2,8 ",0.933333333
Bagging,n_estimators,2,1
Bagging,n_estimators,50,1
Bagging,n_estimators,100,1
Random Forest,n_estimators,10,1
Random Forest,n_estimators,50,1
Random Forest,n_estimators,100,1
Random Forest,max_features,auto,1
Random Forest,max_features,sqrt,1
AdaBoost,n_estimators,30,1
AdaBoost,n_estimators,50,1
AdaBoost,n_estimators,100,1
AdaBoost,learning_rate,0.01,1
AdaBoost,learning_rate,0.1,1
AdaBoost,learning_rate,1,1
